marker_id,latitude,longitude
9795626cfd584471ab4406d756a00baf,19.041691972000024,72.85052482000003
82a31b114c0243859e73c4f5f1332554,19.047690380000063,72.85787174600006
0e93001008714f1da3c40e3317183810,19.039267403000053,72.85491353500004
a41b90c2ea4a405b8a35811cd094ea68,19.04372482200006,72.85004247900008
3e13bed860e9471d9a1323cffd3b6129,19.017987179000045,72.81980024300003
76c41c20947147dca50aaf65ddc5cd7c,19.005198476000032,72.82053658800004
459cc0f22e0d472e958b85734e704c74,19.00195741300007,72.81694836500003
17a95898101040b283e2d1fc7282e604,19.001709748000053,72.81849399200007
6b15dbe1edd64d989146fb1c417bdf54,19.018673800000045,72.81916850800008
cfa96004f8704b63a249a0037c9bdf18,19.001004932000058,72.81754334100003
237a52a585ec4240a952e460a482defd,19.01835715900006,72.81840243300007
cb8226da37b642a19c4a543ff939e3f9,19.01796199100005,72.81869763300006
d2daf4cec36140e79352ae978314ab5a,19.01787524200006,72.81815676500008
e30d3ea9e31f4c6fb3febf872e28792e,19.01939522200007,72.81872934700004
0efd21e2db4b46f98a107c490262555f,19.01952039100007,72.81786931500005
05f1359e5d1a403880efc07c9e3ea6f8,19.019012157000077,72.81788612000008
98caef2fda274089a1a88e4b91145ede,19.080310712000028,72.85698821900007
6fb3457bab1d47c4ba885fb2b337dbf3,19.075787209000055,72.86058542000006
d8c54004dc8741bc8c4b2606adba05b9,19.07161731800005,72.91683116200005
37a0076b2c3e4a778b95d9a7c256dd2a,19.07834762300007,72.84564794800008
225878b44ccb455dbd0acf764be30948,19.055734882000024,72.84233838600005
e0d656d8f1ce45d089f289e272c5f3b0,19.058336590000067,72.84446533900007
ba199f61a02641b3b7766da58528469a,19.077064403000065,72.84410425200008
bc0d656d4faa456293fb477e6bdcb691,19.06253580200007,72.85837049100007
ae5ab2eef702413fa9b9781d05db9449,19.07747605800006,72.84585164400005
0e119000372745d8bffb5d806815356d,19.057122126000024,72.84257840900005
